ident,total,city,lat,long
FI_0FINLI,7589,Naantali,60.4688687,22.0291149
FI_0FIOUL,3024,Oulu,65.0118734,25.4716809
FI_0FIPAR,877,Parainen,60.3054487,22.2996452
FI_0FIPOR,3536,Pori,61.4865542,21.7968951
FI_0FIPRS,1343,Pietarsaari,63.6666709,22.7000229
FI_0FIRAA,4969,Raahe,64.6796865,24.4709175
FI_0FIRAU,5863,Rauma,61.1289148,21.5039401
FI_0FISKV,25198,Sköldvik,58.4758979,16.9392507
FI_0FITKU,2134,Turku,60.4517531,22.2670522
FI_0FITOR,3107,Tornio,65.8457589,24.1464
FI_0FIUKI,2620,Uusikaupunki,60.8016507,21.4086143
FI_0FIVAA,1177,Vaasa,63.0957722,21.6159187
FR_1FRBAY,2303,Bayonne,43.4933379,-1.475099
FR_1FRBES,2574,Brest,48.3905283,-4.4860088
FR_1FRBOD,6499,Bordeaux,44.841225,-0.5800364
FR_1FRCFR,1787,Caen,49.1810037,-0.3698915
FR_1FRCQF,18099,Calais,50.9488,1.87468
FR_1FRDKK,42555,Dunkerque,51.0347708,2.3772525
FR_1FRDPE,1114,Dieppe,49.9246182,1.0791444
FR_1FRLEH,60173,Le Havre,49.4938975,0.1079732
FR_1FRLRH,9763,La Rochelle,46.1591126,-1.1520434
FR_1FRLRT,2685,Lorient,47.7477336,-3.3660907
FR_1FRSML,1059,St Malo,48.6454528,-2.015418
FR_1FRURO,23315,Rouen,49.4404591,1.0939658
FR_2FRBIA,1588,Bastia,42.7065505,9.452542
FR_2FRMRS,74049,Marseille,43.2961743,5.3699525
FR_2FRNOU,1611,Port-la-Nouvelle,43.0203536,3.046461
FR_2FRSET,4127,Sète,43.4014434,3.6959771
FR_2FRTLN,1742,Toulon,43.1257311,5.9304919
HR_0HRBAK,3011,Bakar,45.3071461,14.5342673
HR_0HROMI,6813,Omisalj,45.2120215,14.5575259
HR_0HRPLE,3506,Ploce,43.0524293,17.4360676
HR_0HRRJK,3356,Rijeka,45.3271752,14.4412309
HR_0HRSPU,1940,Split,43.5116383,16.4399659
IE_0IEBYT,729,Bantry Bay,-33.9281512,18.3789695
IE_0IEDRO,1530,Drogheda,53.7149877,-6.3524183
IE_0IEDUB,26332,Dublin,53.3497645,-6.2602732
IE_0IELMK,9622,Limerick,52.661252,-8.6301239
IE_0IEORK,8706,Cork,51.898627,-8.4705942
IE_0IEROS,2040,Rosslare Harbour,52.2497333,-6.3401152
IE_0IEWAT,1854,Waterford,52.2609997,-7.1119081
IT_0ITAOI,5314,Ancona,43.6170137,13.5170982
IT_0ITAUG,21467,Augusta,33.4709714,-81.9748429
IT_0ITBDS,8582,Brindisi,40.6395295,17.945526
IT_0ITBLT,1083,Barletta,41.3214976,16.2868696
IT_0ITBRI,6135,Bari,41.1257843,16.8620293
IT_0ITCAG,12680,Cagliari,39.2169525,9.1128513
IT_0ITCHI,1598,Chioggia,45.218894,12.2785805
IT_0ITCTA,6060,Catania,37.5022355,15.08738
IT_0ITCVV,9527,Civitavecchia,42.0937524,11.7922462
IT_0ITFAL,4975,Falconara Marittima,43.6293969,13.3966763
IT_0ITFCO,3676,Fiumicino,41.7675656,12.2339473
IT_0ITGAE,1807,Gaeta,41.218312,13.56281
IT_0ITGEA,1249,Gela,37.0664363,14.2502445
IT_0ITGIT,22694,Gioia Tauro,38.423974,15.898995
IT_0ITGOA,49698,Genova,44.40726,8.9338624
IT_0ITLIV,36262,Livorno,43.5507317,10.3091256
IT_0ITMDC,3148,Marina di Carrara,44.0376696,10.0455044
IT_0ITMLZ,15469,Milazzo,38.2208049,15.2415129
IT_0ITMNF,4485,Monfalcone,45.8049454,13.5330592
IT_0ITMSN,7293,Messina,38.1937571,15.5542082
IT_0ITNAP,15431,Napoli,40.8359336,14.2487826
IT_0ITOLB,5750,Olbia,40.9232659,9.5027442
IT_0ITOTN,1264,Ortona,42.349643,14.403913
IT_0ITPIO,3405,Piombino,42.9231662,10.5268192
IT_0ITPMO,10047,Palermo,38.1112268,13.3524434
IT_0ITPNG,1438,Porto Nogaro,45.8160297,13.2187352
IT_0ITPTO,4592,Porto Torres,40.8344403,8.4031462
IT_0ITPVE,1387,Portovesme,39.1956756,8.4070355
IT_0ITPZL,1558,Pozzallo,36.7263298,14.8463434
IT_0ITQOS,1687,Oristano,39.9059497,8.5916112
IT_0ITRAN,31351,Ravenna,44.4161414,12.2017617
IT_0ITREG,4528,Reggio di Calabria,38.1035389,15.6397556
IT_0ITSAL,7679,Salerno,40.6803601,14.7594542
IT_0ITSIR,12132,Siracusa,37.0646139,15.2907196
IT_0ITSPE,18805,La Spezia,44.107527250000004,9.79985421892292
IT_0ITSVN,13450,Savona,44.3080251,8.4810315
IT_0ITTAR,17608,Taranto,40.4712427,17.2432278
IT_0ITTPS,1225,Trapani,38.0174321,12.515992
IT_0ITTRS,60332,Trieste,45.6504806,13.7931263
IT_0ITVCE,27935,Venezia,45.4371908,12.3345898
LT_0LTBOT,9542,Butinge,56.0661815,21.109286
LT_0LTKLJ,42705,Klaipeda,55.7127529,21.1350469
LV_0LVLPX,7025,Liepaja,56.5048435,21.0070903
LV_0LVRIX,30628,Riga,56.9493977,24.1051846
LV_0LVVNT,19600,Ventspils,57.3903918,21.5635991
ME_0MEBAR,2034,Bar,48.4088704,7.4492808
MT_0MTMAR,3562,Marsaxlokk,35.8417662,14.5448353
MT_0MTMLA,1634,Valletta,35.8989818,14.5136759
NL_0NLAMS,103911,Amsterdam,52.3727598,4.8936041
NL_0NLDHR,99,Den Helder,52.957976,4.760279
NL_0NLDZL,6063,Delfzijl,53.3325644,6.9135144
NL_0NLHAR,631,Harlingen,26.1908241,-97.6959794
NL_0NLMOE,6521,Moerdijk,51.66277225,4.525592262905145
NL_0NLRTM,439631,Rotterdam,51.9228958,4.4631727
NL_0NLVLA,9235,Vlaardingen,51.9227863,4.329563378870851
NO_0NOAES,1677,Ålesund,62.76712545,6.168828066313526
NO_0NOBGO,44174,Bergen,60.3943055,5.3259192
NO_0NOBNN,1838,Bronnoysund,65.4737042,12.2111915
NO_0NOBOO,786,Bodø,67.2839476,14.3825834
NO_0NODRM,4606,Drammen,59.7436749,10.2043749
NO_0NOEGE,604,Egersund,58.4518952,5.9999963
NO_0NOFRK,3315,Fredrikstad,59.2133614,10.9361604
NO_0NOHAU,10138,Haugesund,59.4154805,5.2636464
NO_0NOHFT,5664,Hammerfest,70.6413392,23.8360800591327
NO_0NOHRD,403,Harstad,68.92973835000001,16.520913478350344
NO_0NOKKN,70,Kirkenes,69.7271478,30.0448971
NO_0NOKRS,1776,Kristiansand S,58.14615,7.9957333
NO_0NOLAR,1874,Larvik,59.053173,10.027182
NO_0NOMAY,339,Måløy,40.6744348,-94.4121811
NO_0NOMJF,1372,Mosjøen,65.8376537,13.1943186
NO_0NOMOL,5373,Molde,62.7378836,7.1589568
NO_0NOMQN,4173,Mo i Rana,66.3110969,14.1386991
NO_0NOMSS,345,Moss,59.414667449999996,10.659657776223916
NO_0NONVK,20088,Narvik,68.28988385,17.086538711321808
NO_0NOOSL,6039,Oslo,59.9133301,10.7389701
NO_0NOSAU,1240,Sauda,59.70456595,6.462093764721425
NO_0NOSVE,5285,Svelgen,61.7700474,5.2981322
NO_0NOSVG,2264,Stavanger,59.1020129,5.712611357275702
NO_0NOTON,10709,Tønsberg,59.3549795,10.282049110877239
NO_0NOTOS,1149,Tromsø,69.649208,18.9543434
NO_0NOTRF,152,Sandefjord,59.1300112,10.2255602
PL_0PLGDN,45520,Gdansk,54.36143405,18.62821847557274
PL_0PLGDY,20551,Gdynia,54.50383255,18.462806155884614
PL_0PLPLC,1671,Police,53.5486435,14.5657399
PL_0PLSWI,15937,Swinoujscie,53.9097477,14.2510703
PL_0PLSZZ,9583,Szczecin,53.4301818,14.5509623
PT_0PTAVE,5497,Aveiro,40.640496,-8.6537841
PT_0PTCNL,1098,Caniçal,32.7391038,-16.739309
PT_0PTFAO,112,Faro,62.19850045,-6.817412433412175
PT_0PTFDF,1894,Figueira da Foz,40.1485808,-8.855655
PT_0PTLEI,17924,Leixões,41.1864507,-8.6961588
PT_0PTLIS,10465,Lisboa,38.7077507,-9.1365919
PT_0PTSET,6735,Setúbal,38.524321,-8.8926172
PT_0PTSIE,38905,Sines,37.92694175,-8.74993786808114
PT_0PTVDC,382,Viana do Castelo,41.694867,-8.831088
RO_0ROCND,42196,Constanta,44.1767161,28.6507598
RO_0ROGAL,2062,Galati,45.4338215,28.0549395
RO_0ROMID,7631,Midia,36.265344,2.766957
SE_1SEAHU,614,Åhus,55.9235165,14.2955222
SE_1SEGRH,46,Grisslehamn,60.0981769,18.8058527
SE_1SEGVX,4955,Gävle,60.6750132,17.1467019
