ident,city,lat,long
TR_2TRBOT,Botas,NA,NA
DE_3DEBOT,Bottrop,NA,NA
FR_1FRBOL,Boulogne-sur-Mer,NA,NA
HR_0HRBZA,Bozava,NA,NA
TR_2TRBZC,Bozcaada,NA,NA
RO_0ROBRA,Braila,NA,NA
DE_1DEBKE,Brake,53.3256109,8.4806296
NL_0NLBRK,Brakel,NA,NA
DK_0DKBRH,Branden Havn,NA,NA
FI_0FIBRA,Brändö,NA,NA
DE_3DEBWE,Braunschweig,NA,NA
SE_1SEBVK,Braviken,NA,NA
IS_0ISBRE,Breiðdalsvík,NA,NA
NO_0NOBRE,Bremanger,NA,NA
DE_1DEBRE,Bremen,53.0758196,8.8071646
DE_1DEBRV,Bremerhaven,53.5522264,8.5865509
NL_0NLBRS,Breskens,NA,NA
FR_1FRBES,Brest,48.3905283,-4.4860088
UK_1GBBRW,Bridgwater,NA,NA
UK_1GBBLS,Brightlingsea,NA,NA
IT_0ITBDS,Brindisi,40.6395295,17.945526
UK_1GBBRS,Bristol,51.4538022,-2.5972985
IS_0ISBRJ,Brjánslækur,NA,NA
SE_2SEBRO,Brofjorden,NA,NA
NO_0NOBNN,Bronnoysund,65.4737042,12.2111915
DE_1DEBRB,Brunsbüttel,53.8972549,9.1395423
BE_0BEBRU,Bruxelles (Brussel),NA,NA
NO_0NOBRO,Brønnøy,NA,NA
UK_1GBBUC,Buckie,NA,NA
BG,Bulgaria,NA,NA
BG_0BGBOJ,Burgas,42.343926,-3.696977
UK_1GBBUH,Burghead,NA,NA
DE_2DEBSK,Burgstaaken/Fehmarn,NA,NA
UK_1GBBPT,Burry port,NA,NA
DE_1DEBUM,Büsum,54.1298489,8.8586989
LT_0LTBOT,Butinge,56.0661815,21.109286
DE_1DEBUZ,Bützfleth,53.6513059,9.4821438
SE_1SEBYX,Byxelkrok,NA,NA
NO_0NOBAR,Bærum/Sandvika/Lysaker,NA,NA
NO_0NOBOX,Bø,NA,NA
DK_0DKBOS,Bøjden,NA,NA
ES_2ESCAD,Cádiz,36.5297438,-6.2928976
FR_1FRCFR,Caen,49.1810037,-0.3698915
IT_0ITCAG,Cagliari,39.2169525,9.1128513
UK_1GBCYN,Cairnryan,54.9738045,-5.0250851
PT_0PTCDP,"Cais do Pico (Ilha do Pico, Açores)",NA,NA
FR_1FRCQF,Calais,50.9488,1.87468
IT_0ITCLS,Calasetta,NA,NA
FR_2FRCLY,Calvi,NA,NA
FR_1FRCAM,Camaret,NA,NA
TR_2TRCKZ,Canakkale,NA,NA
PT_0PTCNL,Caniçal,32.7391038,-16.739309
FR_2FRCEQ,Cannes,NA,NA
NL_0NLCPI,Capelle aan den Ijssel,NA,NA
IT_0ITCPA,Capraia,NA,NA
IT_0ITPRJ,Capri,NA,NA
UK_1GBCDF,Cardiff,51.4816546,-3.1791934
IT_0ITCLF,Carloforte,NA,NA
DE_1DECAR,Carolinensiel,NA,NA
ES_2ESCAR,Cartagena,37.6267868,-1.0006184
FR_1FRCRT,Carteret,NA,NA
IT_0ITCML,Casamicciola,NA,NA
IT_0ITCTR,Castellammare del Golfo,NA,NA
IT_0ITCAS,Castellammare di Stabia,NA,NA
ES_2ESCAS,Castellón,NA,NA
IE_0IECTB,Castletownbere (Castletown Bearhaven),NA,NA
DE_3DECRL,Castrop-Rauxel,NA,NA
IT_0ITCTA,Catania,37.5022355,15.08738
IT_0ITCVX,Cavo,NA,NA
HR_0HRCVT,Cavtat,NA,NA
FR_3GFCAY,Cayenne,NA,NA
DK_0DKDAN,Cementfabrikken Danias Havn,NA,NA
DK_0DKKON,Cementfabrikken Kongsdal Havn,NA,NA
RO_0ROCEV,Cernavoda,NA,NA
TR_2TRCES,Cesme,NA,NA
ES_3ESCEU,Ceuta,35.888361,-5.304138
EL_0GRHAL,Chalki Dodekanisou,NA,NA
EL_0GRCLK,Chalkida,NA,NA
EL_0GRCHQ,Chania,NA,NA
UK_1GBCHF,Charlestown,NA,NA
FR_1FRCER,Cherbourg,NA,NA
UK_1GBCST,Chichester,NA,NA
IT_0ITCHI,Chioggia,45.218894,12.2785805
EL_0GRJKH,Chios,NA,NA
EL_0GRCSF,Chora Sfakion,NA,NA
DK_0DKCSO,Christiansø Havn,NA,NA
MT_0MTCKW,Cirkewwa,NA,NA
IT_0ITCVV,Civitavecchia,42.0937524,11.7922462
UK_1GBCYP,Clydeport,NA,NA
UK_1GBCOL,Colchester,NA,NA
UK_1GBCLR,Coleraine,NA,NA
FR_1FRCOC,Concarneau,NA,NA
RO_0ROCND,Constanta,44.1767161,28.6507598
IT_0ITCGC,Corigliano Calabro,NA,NA
IE_0IEORK,Cork,51.898627,-8.4705942
UK_1GBCOR,Corpach,NA,NA
ES_2ESQFU,Corralejo,28.7307235,-13.8651907
UK_1GBCOW,Cowes (Isle of Wight),NA,NA
UK_1GBCNU,Craignure,NA,NA
HR_0HRCRS,Cres,NA,NA
HR_0HRCRA,Crikvenica,NA,NA
HR,Croatia,NA,NA
UK_1GBCRN,Cromarty Firth,NA,NA
IT_0ITCRV,Crotone,NA,NA
NL_0NLCUY,Cuijk,NA,NA
DE_1DECUX,Cuxhaven,53.86878,8.698286
CY,Cyprus,NA,NA
EL_0GRDAF,Dafni Agiou Orous,NA,NA
DE_1DEDAG,Dagebüll,54.7306651,8.7130636
IS_0ISDAL,Dalvík,NA,NA
DK_0DKDAS,Dansk Salts Havn,NA,NA
PL_0PLDAR,Darlowo,NA,NA
UK_1GBDTM,Dartmouth,NA,NA
TR_2TRDAT,Datca,NA,NA
UK_1GBDNQ,Dean Point Quarry,NA,NA
SE_1SEDEG,Degerhamn,NA,NA
CY_0CYDHK,Dekeleia,NA,NA
NL_0NLDZL,Delfzijl,53.3325644,6.9135144
DE_2DEDMN,Demmin,NA,NA
NL_0NLDHR,Den Helder,52.957976,4.760279
DK,Denmark,NA,NA
DK_0DK888,Denmark - other ports,NA,NA
NL_0NLDEV,Deventer,NA,NA
EL_0GRDIA,Diafani Karpathou,NA,NA
EL_0GRDIK,Diakofti Kythiron,NA,NA
FR_1FRDPE,Dieppe,49.9246182,1.0791444
TR_2TRDIK,"Dikili, Izmir",NA,NA
NL_0NLDIN,Dinteloord en Prinsenland,NA,NA
IS_0ISDJU,Djúpivogur,NA,NA
NL_0NLDOI,Doetinchem,NA,NA
NL_0NLDOK,Dokkum,NA,NA
SE_1SEDOM,Domsjö,NA,NA
EL_0GRDMB,Domvraina Voiotias,NA,NA
EL_0GRDON,"Donousa, Kyklades",NA,NA
NL_0NLDOR,Dordrecht,NA,NA
DE_3DEDON,Dorsten,NA,NA
DE_3DEDTM,Dortmund,NA,NA
FR_1FRDRZ,Douarnenez,NA,NA
UK_2IMDGS,Douglas (Isle of Man),NA,NA
PT_0PTOPO,Douro (Oporto),NA,NA
UK_1GBDVR,Dover,51.1251275,1.3134228
FI_0FIDRA,Dragsfjärd,NA,NA
DK_0DKDRA,Dragør,NA,NA
NO_0NODRM,Drammen,59.7436749,10.2043749
EL_0GRDPA,Drapetsona,NA,NA
EL_0GRDRE,Drepano Riou,NA,NA
IE_0IEDRO,Drogheda,53.7149877,-6.3524183
NL_0NLDRU,Druten,NA,NA
IE_0IEDUB,Dublin,53.3497645,-6.2602732
HR_0HRDBV,Dubrovnik,NA,NA
DE_3DEDUI,Duisburg,NA,NA
IE_0IEDLG,Dun Laoghaire,NA,NA
IE_0IEDDK,Dundalk,NA,NA
UK_1GBDUN,Dundee,56.4605938,-2.97019
FR_1FRDKK,Dunkerque,51.0347708,2.3772525
DE_3DEDUS,Düsseldorf,NA,NA
UK_1GB230,Dutch River Wharf,NA,NA
NO_0NODYL,Dyroyhamn,NA,NA
DK_0DKEBT,Ebeltoft,NA,NA
DE_2DEECK,Eckernförde,NA,NA
FI_0FIECK,Eckerö,NA,NA
TR_2TREDO,Edremit,NA,NA
IT_0IT003,Egadi,NA,NA
DK_0DKEGN,Egense,NA,NA
NO_0NOEGE,Egersund,58.4518952,5.9999963
NO_0NOEIL,Eidslandet,NA,NA
NO_0NOEGD,Eigersund,NA,NA
EL_0GRELN,Elafonisos Lakonias,NA,NA
PL_0PLELB,Elblag,NA,NA
EL_0GREEU,Elefsina,38.047608,23.5348663
EL_0GRELT,Eleftheres,NA,NA
SE_1SEELL,Elleholm,NA,NA
DE_1DEEME,Emden,53.3670541,7.2058304
DE_3DEESU,Emmelsum,NA,NA
DK_0DKEDL,Endelave,NA,NA
SE_1SEENK,Enköping,NA,NA
DK_0DKEIT,Ensted Inter Terminal,NA,NA
DK_0DKENS,Enstedværkets Havn,NA,NA
IT_0IT004,Eolie,NA,NA
TR_2TRERK,Erdek,NA,NA
TR_1TRERE,Eregli,NA,NA
EL_0GRERK,"Ereikousa, Diapontia nisia",NA,NA
EL_0GRERE,Eretria Evvoias,NA,NA
EL_0GRERM,Ermioni,NA,NA
DK_0DKEBJ,Esbjerg,55.4664892,8.4520751
DE_1DE76Y,Esens,53.6468107,7.6118499
IS_0ISESK,Eskifjörður,NA,NA
FI_0FIESP,Espoo,NA,NA
EE,Estonia,NA,NA
EE_0EE888,Estonia - other ports,NA,NA
NO_0NOETN,Etne,NA,NA
FI_0FIEJO,Eurajoki,NA,NA
EEA31,"European Economic Area (EU28 plus IS, LI, NO)",NA,NA
EU15,European Union - 15 countries (1995-2004),NA,NA
EU25,European Union - 25 countries (2004-2006),NA,NA
EU27_2007,European Union - 27 countries (2007-2013),NA,NA
EU27_2020,European Union - 27 countries (from 2020),NA,NA
EU28,European Union - 28 countries (2013-2020),NA,NA
EL_0GREYD,Evdilos,NA,NA
UK_1GBEXM,Exmouth,NA,NA
DK_0DKFAA,Fåborg Havn,NA,NA
SE_1SEFAK,Fagerviken,NA,NA
DK_0DKFAK,Fakse Ladeplads Havn,NA,NA
IT_0ITFAL,Falconara Marittima,43.6293969,13.3966763
SE_2SEFAG,Falkenberg,49.0487769,6.5958205
UK_1GBFAL,Falmouth,NA,NA
EL_0GRFNR,Faneromeni Salaminas,NA,NA
UK_1GBFHM,Fareham,NA,NA
FI_0FIFAR,Färjsund,NA,NA
PT_0PTFAO,Faro,62.19850045,-6.817412433412175
NO_0NOFAN,Farsund,NA,NA
IS_0ISFAS,Fáskrúðsfjörður,NA,NA
TR_1TRFAS,Fatsa,NA,NA
NO_0NOFAU,Fauske,NA,NA
IT_0ITFAV,Favignana,NA,NA
FR_1FRFEC,Fécamp,NA,NA
DK_0DKFGS,Feggesund,NA,NA
DK_0DKFEJ,Fejø,NA,NA
UK_1GBFXT,Felixstowe,51.9639098,1.3515106
DK_0DKFMO,Femø,NA,NA
ES_1ESFRO,Ferrol,43.4846862,-8.233162
TR_2TRFET,Fethiye,NA,NA
PT_0PTFDF,Figueira da Foz,40.1485808,-8.855655
IT_0ITFPO,Filicudi Porto,NA,NA
TR_2TRFIN,Finike,NA,NA
FI,Finland,NA,NA
FI_0FI001,Finland - other inland ports,NA,NA
FI_0FI888,Finland - other ports,NA,NA
UK_1GBFIS,Fishguard,51.9938353,-4.97681
NO_0NOFIS,Fiska,NA,NA
EL_0GRFIS,Fiskardo Kefallinias,NA,NA
IT_0ITFCO,Fiumicino,41.7675656,12.2339473
SE_2SEFJA,Fjällbacka,NA,NA
NO_0NOFKS,Flakstad,NA,NA
IS_0ISFLA,Flateyri,NA,NA
UK_1GBFLE,Fleetwood,NA,NA
NO_0NOFFD,Flekkefjord,NA,NA
DE_2DEFLF,Flensburg,54.7833021,9.4333264
DE_2DE117,Flensburger Förde - other ports,NA,NA
NO_0NOFRO,Florø/Flora,NA,NA
TR_2TRFOC,Foca,NA,NA
FI_0FIFOG,Föglö,NA,NA
DE_1DE017,Föhr,NA,NA
EL_0GRFOL,Folegandros Kyklades,NA,NA
UK_1GBFOL,Folkestone,NA,NA
FI_0FIFOR,Förby,NA,NA
IT_0ITFOM,Formia,NA,NA
SE_1SEFOR,Forsmark,NA,NA
FR_4MQFDF,Fort-de France (Martinique),NA,NA
UK_1GBFOR,Forth,55.765585,-3.6882358
UK_1GBFDK,Fosdyke,NA,NA
NO_0NOFSN,Fosnes,NA,NA
EL_0GRFOU,Fournoi Samou,NA,NA
UK_1GBFOY,Fowey,50.3357786,-4.6365952
IE_0IEFOV,Foynes,NA,NA
FR,France,NA,NA
FR_1FR888,France (Atlantic / North Sea) - other ports,NA,NA
FR_9FR888,France (unknown maritime coastal area) - other ports,NA,NA
FR_1,France: Atlantic / North Sea,NA,NA
FR_4,France: Guadeloupe and Martinique,NA,NA
FR_3,France: Guyane,NA,NA
FR_2,France: Mediterranean,NA,NA
FR_5,France: Réunion,NA,NA
FR_9,France: unspecified maritime coastal area,NA,NA
NL_0NLFRK,Franekeradeel,NA,NA
DE_3DEFRA,Frankfurt am Main,NA,NA
UK_1GBFRB,Fraserburgh,NA,NA
DK_0DKFRC,Fredericia (Og Shell-Havnen),NA,NA
DK_0DKFDH,Frederikshavn,57.4412134,10.5336225
DK_0DKFDS,Frederikssund Havn,NA,NA
DK_0DKSVV,Frederiskværk Havn (Frederiksværk Stålvalseværk),NA,NA
NO_0NOFRK,Fredrikstad,59.2133614,10.9361604
DE_1DEFRI,Friedrichstadt,NA,NA
EL_0GRSAT,Frikes Ithakis,NA,NA
PL_0PL011,Frombork,NA,NA
PL_0PLFBK,Frombork,NA,NA
PT_0PTFNC,Funchal (Madeira),NA,NA
DK_0DKFUH,Fur,NA,NA
NO_0NOFUS,Fusa,NA,NA
DK_0DKFYH,Fynshav,NA,NA
IT_0ITGAE,Gaeta,41.218312,13.56281
NO_0NOKAF,Gaivuotna - Kåfjord,NA,NA
EL_0GRGAL,Galatas Troizinias,NA,NA
RO_0ROGAL,Galati,45.4338215,28.0549395
IT_0ITGAL,Gallipoli,NA,NA
IE_0IEGWY,Galway,NA,NA
SE_1SEGAM,Gamleby,NA,NA
ES_2ESGAR,Garrucha,37.1853447,-1.8204711
UK_1GBGTN,Garston,NA,NA
IS_0ISGRD,Garður,NA,NA
EL_0GRGAD,Gavdos Chanion,NA,NA
SE_1SEGVX,Gävle,60.6750132,17.1467019
EL_0GRGAV,Gavrio,NA,NA
PL_0PLGDN,Gdansk,54.36143405,18.62821847557274
PL_0PLGDY,Gdynia,54.50383255,18.462806155884614
DK_0DKGED,Gedser,54.57613795,11.93221627251935
NL_0NLGTB,Geertruidenberg,NA,NA
IT_0ITGEA,Gela,37.0664363,14.2502445
TR_2TRGEL,Gelibolu,NA,NA
DE_3DEGEK,Gelsenkirchen,NA,NA
TR_2TRGEM,Gemlik,NA,NA
NL_0NLGNM,Genemuiden,NA,NA
