year,origin,dest,sitc4,export_val,import_val
1979,rou,wld,3222,0.00,29061000.00
1979,can,usa,3222,275000.00,0.00
1979,can,wld,3222,275000.00,0.00
1979,mex,usa,3222,0.00,27547000.00
1979,mex,wld,3222,0.00,27547000.00
1979,usa,zaf,3222,0.00,33920000.00
1979,usa,twn,3222,17737000.00,0.00
1979,usa,alb,3222,9459000.00,0.00
1979,usa,ddr,3222,6124000.00,0.00
1979,usa,deu,3222,6124000.00,0.00
1979,usa,pol,3222,0.00,4548000.00
1979,usa,rou,3222,29061000.00,0.00
1979,usa,can,3222,0.00,275000.00
1979,usa,mex,3222,27547000.00,0.00
1979,usa,chl,3222,6195000.00,0.00
1979,usa,wld,3222,96123000.00,38743000.00
1979,chl,usa,3222,0.00,6195000.00
1979,chl,wld,3222,0.00,6195000.00
1979,wld,zaf,3222,0.00,33920000.00
1979,wld,twn,3222,17737000.00,0.00
1979,wld,alb,3222,9459000.00,0.00
1979,wld,ddr,3222,6124000.00,0.00
1979,wld,deu,3222,6124000.00,0.00
1979,wld,pol,3222,0.00,4548000.00
1979,wld,rou,3222,29061000.00,0.00
1979,wld,can,3222,0.00,275000.00
1979,wld,mex,3222,27547000.00,0.00
1979,wld,usa,3222,38743000.00,96123000.00
1979,wld,chl,3222,6195000.00,0.00
1979,wld,wld,3222,134866000.00,134866000.00
1980,zaf,usa,3222,25130000.00,0.00
1980,zaf,wld,3222,25130000.00,0.00
1980,twn,usa,3222,0.00,31957000.00
1980,twn,wld,3222,0.00,31957000.00
1980,alb,usa,3222,0.00,6307000.00
1980,alb,wld,3222,0.00,6307000.00
1980,ddr,usa,3222,0.00,434000.00
1980,ddr,wld,3222,0.00,434000.00
1980,deu,usa,3222,0.00,434000.00
1980,deu,wld,3222,0.00,434000.00
1980,gib,usa,3222,0.00,2727000.00
1980,gib,wld,3222,0.00,2727000.00
1980,pol,usa,3222,2516000.00,0.00
1980,pol,wld,3222,2516000.00,0.00
1980,rou,usa,3222,0.00,61185000.00
1980,rou,wld,3222,0.00,61185000.00
1980,mex,usa,3222,0.00,31945000.00
1980,mex,wld,3222,0.00,31945000.00
1980,usa,zaf,3222,0.00,25130000.00
1980,usa,twn,3222,31957000.00,0.00
1980,usa,alb,3222,6307000.00,0.00
1980,usa,ddr,3222,434000.00,0.00
1980,usa,deu,3222,434000.00,0.00
1980,usa,gib,3222,2727000.00,0.00
1980,usa,pol,3222,0.00,2516000.00
1980,usa,rou,3222,61185000.00,0.00
1980,usa,mex,3222,31945000.00,0.00
1980,usa,aus,3222,0.00,3315000.00
1980,usa,chl,3222,26115000.00,0.00
1980,usa,wld,3222,160670000.00,30961000.00
1980,aus,usa,3222,3315000.00,0.00
1980,aus,wld,3222,3315000.00,0.00
1980,chl,usa,3222,0.00,26115000.00
1980,chl,wld,3222,0.00,26115000.00
1980,wld,zaf,3222,0.00,25130000.00
1980,wld,twn,3222,31957000.00,0.00
1980,wld,alb,3222,6307000.00,0.00
1980,wld,ddr,3222,434000.00,0.00
1980,wld,deu,3222,434000.00,0.00
1980,wld,gib,3222,2727000.00,0.00
1980,wld,pol,3222,0.00,2516000.00
1980,wld,rou,3222,61185000.00,0.00
1980,wld,mex,3222,31945000.00,0.00
