x,y
2.3008503,48.8330036
2.2958373,48.8344931
2.3128016,48.8426635
2.3649335,48.8292023
2.2902172,48.8669652
2.2904092,48.8675741
2.3597593,48.8192641
2.2724868,48.8637229
2.2802837,48.860603
2.3358465,48.8241006
2.3724487,48.8461202
2.3547644,48.8439693
2.316429,48.850377
2.3438572,48.8498111
2.3722066,48.8602357
2.3138712,48.8839489
2.2944295,48.8646615
2.2924984,48.8658673
2.3053441,48.8546463
2.3190556,48.891078
2.319123,48.8892596
2.3016012,48.8296033
2.3038758,48.8330816
2.308518,48.8346913
2.326708,48.8913288
2.3140838,48.8943779
2.3968492,48.8345376
2.3954357,48.8333803
2.2979112,48.8853705
2.3937118,48.877762
2.2975553,48.8592448
2.4087032,48.8678875
2.4057912,48.8661368
2.2879504,48.8737695
2.2616325,48.8451623
2.2878776,48.880215
2.2856484,48.8807347
2.2915367,48.8791943
2.2958405,48.8781493
2.2670508,48.8507007
2.2642813,48.8479261
2.2940749,48.8783479
2.3003649,48.8574335
2.3035154,48.8569411
2.2955478,48.8603949
2.3046935,48.8560924
2.3034705,48.8586338
2.3620939,48.8405453
2.3634668,48.8402568
2.3631705,48.8420852
2.369828,48.8520045
2.2770478,48.8589811
2.2904857,48.8652654
2.3794271,48.8849745
2.3791945,48.8852235
2.3900713,48.8734651
2.2974478,48.8844285
2.2841097,48.8778993
2.2877114,48.8789747
2.3404593,48.8617157
2.3362555,48.862547
2.3415806,48.8629625
2.2949724,48.8509539
2.2943248,48.8489561
2.3358328,48.8696005
2.337797,48.8714851
2.3415731,48.8696799
2.3394115,48.8766283
2.356671,48.8657334
2.3511403,48.8639656
2.3533982,48.8613508
2.3502461,48.8617621
2.3890696,48.8796442
2.3551334,48.8605623
2.3481104,48.8416734
2.3475405,48.8398659
2.3633017,48.8527075
2.3621385,48.8678851
2.3880012,48.883273
2.3581385,48.8660231
2.3623354,48.8649523
2.3476351,48.8463274
2.3299506,48.8701584
2.3292609,48.868912
2.330232,48.8644425
2.3546594,48.8643886
2.3147957,48.8336111
2.401486,48.8618768
